"datetime","backendConnectionErrors"
"2022-05-17T10:14:00Z",200
"2022-05-17T10:17:00Z",204
"2022-05-17T10:29:00Z",1
"2022-05-17T10:48:00Z",1
"2022-05-17T10:52:00Z",1
"2022-05-17T10:57:00Z",100
"2022-05-17T10:58:00Z",104
"2022-05-17T11:05:00Z",100
"2022-05-17T11:06:00Z",2
"2022-05-17T11:11:00Z",100
"2022-05-17T11:12:00Z",2
"2022-05-17T11:15:00Z",100
"2022-05-17T11:21:00Z",100
"2022-05-17T11:22:00Z",2
"2022-05-17T11:27:00Z",100
"2022-05-17T11:28:00Z",3
"2022-05-17T11:39:00Z",101
"2022-05-17T11:40:00Z",1
"2022-05-17T11:43:00Z",100
"2022-05-17T11:45:00Z",102
