"datetime","backendConnectionErrors"
"2022-05-16T19:41:00Z",205
"2022-05-16T19:56:00Z",200
"2022-05-16T20:07:00Z",200
"2022-05-16T20:16:00Z",100
"2022-05-16T20:17:00Z",1
"2022-05-16T20:22:00Z",100
"2022-05-16T20:24:00Z",200
"2022-05-16T20:34:00Z",300
"2022-05-16T20:35:00Z",202
"2022-05-16T20:36:00Z",2
"2022-05-16T20:43:00Z",101
"2022-05-16T20:49:00Z",102
"2022-05-16T20:50:00Z",1
"2022-05-16T21:01:00Z",102
"2022-05-16T21:07:00Z",102
"2022-05-16T21:09:00Z",200
"2022-05-16T21:18:00Z",101
"2022-05-16T21:20:00Z",100
"2022-05-16T21:24:00Z",101
"2022-05-16T21:29:00Z",1
