"datetime","backendConnectionErrors"
"2022-03-28T19:58:00Z",109
"2022-03-28T19:59:00Z",12
"2022-03-28T20:00:00Z",12
"2022-03-28T20:01:00Z",12
"2022-03-28T20:02:00Z",8
"2022-03-28T20:03:00Z",201
"2022-03-28T20:18:00Z",100
"2022-03-28T20:33:00Z",1
"2022-03-28T20:42:00Z",200
"2022-03-28T21:04:00Z",300
"2022-03-28T21:05:00Z",300
"2022-03-28T21:12:00Z",101
"2022-03-28T21:13:00Z",101
"2022-03-28T21:19:00Z",101
"2022-03-28T21:29:00Z",100
"2022-03-28T21:35:00Z",101
"2022-03-28T21:39:00Z",100
"2022-03-28T21:46:00Z",100
"2022-03-28T21:52:00Z",100
