"datetime","backendConnectionErrors"
"2022-03-21T05:43:00Z",110
"2022-03-21T05:44:00Z",12
"2022-03-21T05:45:00Z",12
"2022-03-21T05:46:00Z",12
"2022-03-21T05:47:00Z",10
"2022-03-21T05:48:00Z",202
"2022-03-21T05:50:00Z",200
"2022-03-21T05:53:00Z",100
"2022-03-21T06:14:00Z",1
"2022-03-21T06:15:00Z",3
"2022-03-21T06:18:00Z",1
"2022-03-21T06:41:00Z",200
"2022-03-21T06:49:00Z",100
"2022-03-21T06:50:00Z",1
"2022-03-21T06:55:00Z",100
"2022-03-21T06:56:00Z",1
"2022-03-21T07:02:00Z",100
"2022-03-21T07:03:00Z",102
"2022-03-21T07:07:00Z",107
"2022-03-21T07:10:00Z",100
"2022-03-21T07:13:00Z",102
"2022-03-21T07:17:00Z",100
"2022-03-21T07:22:00Z",100
"2022-03-21T07:23:00Z",101
"2022-03-21T07:28:00Z",100
"2022-03-21T07:29:00Z",2
