"datetime","backendConnectionErrors"
"2022-03-24T20:05:00Z",12
"2022-03-24T20:06:00Z",12
"2022-03-24T20:07:00Z",12
"2022-03-24T20:08:00Z",9
"2022-03-24T20:09:00Z",201
"2022-03-24T20:21:00Z",207
"2022-03-24T20:22:00Z",1
"2022-03-24T20:40:00Z",108
"2022-03-24T20:42:00Z",203
"2022-03-24T20:43:00Z",2
"2022-03-24T21:11:00Z",200
"2022-03-24T21:18:00Z",100
"2022-03-24T21:24:00Z",100
"2022-03-24T21:29:00Z",100
"2022-03-24T21:37:00Z",100
"2022-03-24T21:43:00Z",100
"2022-03-24T21:45:00Z",200
"2022-03-24T21:54:00Z",100
"2022-03-24T22:00:00Z",100
