"datetime","backendConnectionErrors"
"2022-05-30T06:18:00Z",100
"2022-05-30T06:19:00Z",202
"2022-05-30T06:20:00Z",5
"2022-05-30T06:59:00Z",100
"2022-05-30T07:04:00Z",1
"2022-05-30T07:05:00Z",1
"2022-05-30T07:13:00Z",204
"2022-05-30T07:16:00Z",100
"2022-05-30T07:20:00Z",202
"2022-05-30T07:22:00Z",100
"2022-05-30T07:26:00Z",101
"2022-05-30T07:27:00Z",1
"2022-05-30T07:37:00Z",102
"2022-05-30T07:39:00Z",100
"2022-05-30T07:43:00Z",102
"2022-05-30T07:54:00Z",100
"2022-05-30T07:55:00Z",2
"2022-05-30T08:01:00Z",102
