"datetime","backendConnectionErrors"
"2022-06-03T03:50:00Z",100
"2022-06-03T03:51:00Z",100
"2022-06-03T03:52:00Z",202
"2022-06-03T03:53:00Z",1
"2022-06-03T03:59:00Z",100
"2022-06-03T04:07:00Z",1
"2022-06-03T04:08:00Z",8
"2022-06-03T04:27:00Z",1
"2022-06-03T04:32:00Z",1
"2022-06-03T04:46:00Z",202
"2022-06-03T04:53:00Z",100
"2022-06-03T04:54:00Z",1
"2022-06-03T04:59:00Z",101
"2022-06-03T05:00:00Z",1
"2022-06-03T05:05:00Z",100
"2022-06-03T05:10:00Z",101
"2022-06-03T05:11:00Z",4
"2022-06-03T05:16:00Z",100
"2022-06-03T05:17:00Z",2
"2022-06-03T05:18:00Z",100
"2022-06-03T05:20:00Z",1
"2022-06-03T05:28:00Z",101
"2022-06-03T05:33:00Z",100
"2022-06-03T05:34:00Z",102
"2022-06-03T05:37:00Z",1
