"datetime","backendConnectionErrors"
"2022-05-16T08:28:00Z",203
"2022-05-16T08:41:00Z",100
"2022-05-16T08:47:00Z",3
"2022-05-16T09:09:00Z",204
"2022-05-16T09:16:00Z",102
"2022-05-16T09:18:00Z",100
"2022-05-16T09:19:00Z",1
"2022-05-16T09:22:00Z",102
"2022-05-16T09:26:00Z",100
"2022-05-16T09:33:00Z",101
"2022-05-16T09:39:00Z",100
"2022-05-16T09:40:00Z",2
"2022-05-16T09:46:00Z",100
"2022-05-16T09:48:00Z",1
"2022-05-16T09:49:00Z",10
"2022-05-16T09:50:00Z",103
"2022-05-16T09:53:00Z",100
"2022-05-16T09:56:00Z",103
"2022-05-16T10:01:00Z",1
