"datetime","backendConnectionErrors"
"2022-05-13T08:38:00Z",100
"2022-05-13T08:39:00Z",202
"2022-05-13T08:40:00Z",200
"2022-05-13T08:51:00Z",4
"2022-05-13T09:07:00Z",1
"2022-05-13T09:18:00Z",4
"2022-05-13T09:32:00Z",202
"2022-05-13T09:33:00Z",2
"2022-05-13T09:37:00Z",100
"2022-05-13T09:39:00Z",301
"2022-05-13T09:40:00Z",1
"2022-05-13T09:56:00Z",101
"2022-05-13T09:57:00Z",101
"2022-05-13T10:05:00Z",100
"2022-05-13T10:06:00Z",200
"2022-05-13T10:13:00Z",1
"2022-05-13T10:14:00Z",100
"2022-05-13T10:15:00Z",103
