"datetime","backendConnectionErrors"
"2022-06-04T03:50:00Z",205
"2022-06-04T03:55:00Z",100
"2022-06-04T04:08:00Z",1
"2022-06-04T04:19:00Z",200
"2022-06-04T04:25:00Z",1
"2022-06-04T04:39:00Z",1
"2022-06-04T04:43:00Z",101
"2022-06-04T04:44:00Z",201
"2022-06-04T04:52:00Z",100
"2022-06-04T04:53:00Z",101
"2022-06-04T04:59:00Z",101
"2022-06-04T05:09:00Z",102
"2022-06-04T05:16:00Z",202
"2022-06-04T05:24:00Z",100
"2022-06-04T05:26:00Z",101
"2022-06-04T05:27:00Z",100
"2022-06-04T05:29:00Z",1
"2022-06-04T05:32:00Z",101
