"datetime","backendConnectionErrors"
"2022-04-22T22:03:00Z",303
"2022-04-22T22:23:00Z",101
"2022-04-22T22:44:00Z",202
"2022-04-22T22:51:00Z",102
"2022-04-22T22:52:00Z",6
"2022-04-22T22:53:00Z",6
"2022-04-22T22:54:00Z",6
"2022-04-22T22:55:00Z",6
"2022-04-22T22:56:00Z",6
"2022-04-22T22:57:00Z",107
"2022-04-22T22:58:00Z",7
"2022-04-22T22:59:00Z",6
"2022-04-22T23:00:00Z",5
"2022-04-22T23:02:00Z",100
"2022-04-22T23:06:00Z",100
"2022-04-22T23:08:00Z",102
"2022-04-22T23:14:00Z",202
"2022-04-22T23:18:00Z",100
"2022-04-22T23:20:00Z",1
"2022-04-22T23:26:00Z",102
"2022-04-22T23:32:00Z",101
