"datetime","backendConnectionErrors"
"2022-03-29T08:44:00Z",100
"2022-03-29T08:45:00Z",1
"2022-03-29T08:47:00Z",301
"2022-03-29T08:48:00Z",2
"2022-03-29T08:55:00Z",101
"2022-03-29T09:01:00Z",1
"2022-03-29T09:02:00Z",1
"2022-03-29T09:03:00Z",1
"2022-03-29T09:06:00Z",1
"2022-03-29T09:14:00Z",1
"2022-03-29T09:21:00Z",4
"2022-03-29T09:32:00Z",1
"2022-03-29T09:33:00Z",1
"2022-03-29T09:37:00Z",1
"2022-03-29T09:41:00Z",201
"2022-03-29T09:43:00Z",100
"2022-03-29T09:45:00Z",1
"2022-03-29T09:48:00Z",205
"2022-03-29T09:49:00Z",6
"2022-03-29T09:50:00Z",6
"2022-03-29T09:51:00Z",6
"2022-03-29T09:52:00Z",6
"2022-03-29T09:53:00Z",6
"2022-03-29T09:54:00Z",107
"2022-03-29T09:55:00Z",6
"2022-03-29T09:56:00Z",6
"2022-03-29T09:57:00Z",6
"2022-03-29T09:58:00Z",1
"2022-03-29T10:05:00Z",101
"2022-03-29T10:06:00Z",101
"2022-03-29T10:08:00Z",101
"2022-03-29T10:11:00Z",100
"2022-03-29T10:21:00Z",100
"2022-03-29T10:23:00Z",101
"2022-03-29T10:29:00Z",102
"2022-03-29T10:31:00Z",1
"2022-03-29T10:35:00Z",2
