"datetime","backendConnectionErrors"
"2022-05-19T03:34:00Z",500
"2022-05-19T03:35:00Z",9
"2022-05-19T04:08:00Z",300
"2022-05-19T04:10:00Z",1
"2022-05-19T04:23:00Z",1
"2022-05-19T04:25:00Z",301
"2022-05-19T04:28:00Z",204
"2022-05-19T04:35:00Z",101
"2022-05-19T04:36:00Z",6
"2022-05-19T04:41:00Z",101
"2022-05-19T04:42:00Z",1
"2022-05-19T04:47:00Z",202
"2022-05-19T04:48:00Z",1
"2022-05-19T04:52:00Z",200
"2022-05-19T04:53:00Z",101
"2022-05-19T04:54:00Z",1
"2022-05-19T05:04:00Z",101
"2022-05-19T05:07:00Z",100
"2022-05-19T05:10:00Z",102
"2022-05-19T05:16:00Z",205
"2022-05-19T05:22:00Z",102
"2022-05-19T05:28:00Z",102
"2022-05-19T05:34:00Z",101
"2022-05-19T05:36:00Z",100
"2022-05-19T05:40:00Z",204
"2022-05-19T05:46:00Z",102
"2022-05-19T05:50:00Z",300
