"datetime","backendConnectionErrors"
"2022-03-17T07:14:00Z",100
"2022-03-17T07:15:00Z",102
"2022-03-17T07:17:00Z",200
"2022-03-17T07:33:00Z",102
"2022-03-17T07:34:00Z",1
"2022-03-17T07:51:00Z",2
"2022-03-17T08:06:00Z",1
"2022-03-17T08:08:00Z",101
"2022-03-17T08:09:00Z",101
"2022-03-17T08:13:00Z",100
"2022-03-17T08:15:00Z",101
"2022-03-17T08:19:00Z",1
"2022-03-17T08:22:00Z",101
"2022-03-17T08:29:00Z",100
"2022-03-17T08:31:00Z",100
"2022-03-17T08:35:00Z",101
"2022-03-17T08:36:00Z",1
"2022-03-17T08:38:00Z",2
"2022-03-17T08:42:00Z",101
"2022-03-17T08:46:00Z",102
"2022-03-17T08:52:00Z",100
"2022-03-17T08:53:00Z",102
