"datetime","backendConnectionErrors"
"2022-04-04T06:17:00Z",203
"2022-04-04T06:29:00Z",100
"2022-04-04T06:36:00Z",200
"2022-04-04T06:47:00Z",100
"2022-04-04T06:56:00Z",300
"2022-04-04T06:59:00Z",1
"2022-04-04T07:11:00Z",202
"2022-04-04T07:18:00Z",100
"2022-04-04T07:19:00Z",1
"2022-04-04T07:24:00Z",100
"2022-04-04T07:25:00Z",1
"2022-04-04T07:32:00Z",100
"2022-04-04T07:38:00Z",102
"2022-04-04T07:39:00Z",200
"2022-04-04T07:49:00Z",1
"2022-04-04T07:52:00Z",100
"2022-04-04T07:58:00Z",100
"2022-04-04T07:59:00Z",1
"2022-04-04T08:01:00Z",100
